"STUDY_ID","REVIEWERS","INCLUDE","X","INCLUDE_nina","Title","Abstract.Note","Publication.Year","DOI","INCLUDE_jonas","INCLUDE_joep"
11,"nina","not vetted",31,"YES","scalable residential building geometry characterisation using vehicle-mounted camera system","residential buildings are an important sector in the urban environment as they provide essential dwelling space, but they are also responsible for a significant share of final energy consumption. in addition, residential buildings that were built with outdated standards usually face difficulty meeting current energy performance standards. the situation is especially common in europe, as 35% of buildings were built over fifty years ago. building retrofitting techniques provide a choice to improve building energy efficiency while maintaining the usable main structures, as opposed to demolition. the retrofit assessment requires the building stock information, including energy demand and material compositions. therefore, understanding the building stock at scale becomes a critical demand. a significant piece of information is the building geometry, which is essential in building energy modelling and stock analysis. in this investigation, an approach has been developed to automatically measure building dimensions from remote sensing data. the approach is built on a combination of unsupervised machine learning algorithms, including k-means++, dbscan and ransac. this work is also the first attempt at using a vehicle-mounted data-capturing system to collect data as the input to characterise building geometry. the developed approach is tested on an automatically built and labelled point cloud model dataset of residential buildings and shows capability in acquiring comprehensive geometry information while keeping a high level of accuracy when processing an intact model.",2022,"10.3390/en15166090","YES","YES"
12,"nina","not vetted",33,"YES","wheat yield estimation using remote sensing data based on machine learning approaches.","accurate predictions of wheat yields are essential to farmers'production plans and to the international trade in wheat. however, only poor approximations of the  productivity of wheat crops in china can be obtained using traditional linear  regression models based on vegetation indices and observations of the yield. in  this study, sentinel-2 (multispectral data) and zy-1 02d (hyperspectral data)  were used together with 15709 gridded yield data (with a resolution of 5 m × 5 m)  to predict the winter wheat yield. these estimates were based on four mainstream  data-driven approaches: long short-term memory (lstm), random forest (rf),  gradient boosting decision tree (gbdt), and support vector regression (svr). the  method that gave the best estimate of the winter wheat yield was determined, and  the accuracy of the estimates based on multispectral and hyperspectral data were  compared. the results showed that the lstm model, for which the rmse of the  estimates was 0.201 t/ha, performed better than the rf (rmse = 0.260 t/ha), gbdt  (rmse = 0.306 t/ha), and svr (rmse = 0.489 t/ha) methods. the estimates based on  the zy-1 02d hyperspectral data were more accurate than those based on the 30-m  sentinel-2 data: rmse = 0.237 t/ha for the zy-1 02d data, which is about a 5%  improvement on the rsme of 0.307 t/ha for the 30-m sentinel-2 data. however, the  10-m sentinel-2 data performed even better, giving an rmse of 0.219 t/ha. in  addition, it was found that the greenness vegetation index sr (simple ratio  index) outperformed the traditional vegetation indices. the results highlight the  potential of the shortwave infrared bands to replace the visible and  near-infrared bands for predicting crop yields our study demonstrates the  advantages of the deep learning method lstm over machine learning methods in  terms of its ability to make accurate estimates of the winter wheat yield.",2022,"10.3389/fpls.2022.1090970","YES","YES"
13,"nina","not vetted",34,"YES","preliminary results in innovative solutions for soil carbon estimation: integrating remote sensing, machine learning, and proximal sensing spectroscopy","this paper explores the application and advantages of remote sensing, machine learning, and mid-infrared spectroscopy (mir) as a popular proximal sensing spectroscopy tool in the estimation of soil organic carbon (soc). it underscores the practical implications and benefits of the integrated approach combining machine learning, remote sensing, and proximal sensing for soc estimation and prediction across a range of applications, including comprehensive soil health mapping and carbon credit assessment. these advanced technologies offer a promising pathway, reducing costs and resource utilization while improving the precision of soc estimation. we conducted a comparative analysis between mir-predicted soc values and laboratory-measured soc values using 36 soil samples. the results demonstrate a strong fit (r² = 0.83), underscoring the potential of this integrated approach. while acknowledging that our analysis is based on a limited sample size, these initial findings offer promise and serve as a foundation for future research. we will be providing updates when we obtain more data. furthermore, this paper explores the potential for commercialising these technologies in australia, with the aim of helping farmers harness the advantages of carbon markets. based on our study’s findings, coupled with insights from the existing literature, we suggest that adopting this integrated soc measurement approach could significantly benefit local economies, enhance farmers’ ability to monitor changes in soil health, and promote sustainable agricultural practices. these outcomes align with global climate change mitigation efforts. furthermore, our study’s approach, supported by other research, offers a potential template for regions worldwide seeking similar solutions.",2023,"10.3390/rs15235571","YES","YES"
14,"nina","not vetted",36,"YES","a deep relearning method based on the recurrent neural network for land cover classification","recent developments in deep learning (dl) techniques have provided a series of new methods for land cover classification. however, most dl-based methods do not consider the rich spatial association of land cover classes embedded in remote sensing images. in this research, a deep relearning method based on the recurrent neural network (drrnn) is proposed for land cover classification. the relearning approach has great potential to improve classification, which has never been used in dl-based land cover classification. to utilize the spatial association of the pixels’ information classes, a class correlated feature (ccf) is first extracted in a local window from an initial classification result. this feature can reflect both the spatial autocorrelation and spatial arrangement of land cover classes. since the recurrent neural network (rnn) is designed to process sequential data, the ccf is formed as a feature sequence, allowing rnn to model the dependency between class labels. the relearning process is then applied to iteratively classify remote sensing images based on the ccf and spectral-spatial feature. at each relearning iteration, the ccf is learned from the previous classification result until a stopping condition is satisfied. this method was tested on five remote sensing images with different sensors and diverse environments. it was observed that noise in the classification result can be filtered by considering spatial autocorrelation, and misclassified areas can be corrected by incorporating spatial arrangement in the relearning process. the classification results indicate that compared to other state-of-the-art dl methods, the proposed method consistently achieves the highest accuracy.",2022,"10.1080/15481603.2022.2115589","YES","YES"
15,"nina","not vetted",40,"YES","prediction of cover crop adoption through machine learning models using satellite-derived data","cover crop is an agriculture operation that is planted during the winter and owns several advantages such as improving water quality and soil quality. however, the large-scale effect of cover crop in relieving environmental burden and improving cash crop yield over a region has not been widely investigated. due to cost and time limitation, it is not favorable to conduct the conventional field trials. previous study proposed a random forest classifier to predict the pattern of cover crop adoption from the remote sensing data. in this study, we propose a multilayer perceptron neural network to further improve the performance and reliability of the classification model and achieve an accuracy of 0.93 and cohen’s kappa of 0.76. moreover, the multilayer perceptron model outperforms two baseline classification models. finally, we predict the cover crop planting status for the knox county and found a significant increase in cover crop planting on the corn cropland in 2016.",2019,"10.1016/j.ifacol.2019.12.511","YES","YES"
16,"nina","not vetted",43,"YES","mapping the rapid development of photovoltaic power stations in northwestern china using remote sensing","many leading countries are boosting renewables, especially solar energy, as a major way to mitigate future energy crises and climate change. particularly, in china, the number and scale of photovoltaic (pv) power stations have grown unprecedentedly in the last decade. there is an urgent need to monitor the pv power development in order to accurately estimate national renewable potentials and understand the ecological impacts. however, there are few efforts towards providing spatially explicit and time-series datasets of pv development at the regional and national scales. to fill the gap, this study proposes an integrated remote sensing approach for pv power stations mapping by combining image segmentation and object-based classification (isoc) techniques. we took five northwestern provinces of china as an illustration and produced 30-m medium-resolution pv power station distribution maps from 2007 to 2019. our analysis shows that the total area of pv power stations in the five provinces increased to 722 km 2 in 2019, with producer, user and overall accuracies of 86%, 100% and 93%. of the 309 pv station clusters (hereafter, pv parks), the top 7% largest ones account for 61% of the total area of pv power stations, indicating that pv power stations in the northwest tend to be developed in the form of large-scale centralized pv parks. the land used for pv power stations was mainly converted from four land cover types: gobi desert, sandy land, sparse grassland, and moderate grassland. the central government policy on facilitating clean energy played a major role in driving the rapid expansion of pv parks across the country. the methodology and results of this study will help policymakers, researchers, and practitioners to develop corresponding industrial standards and environmental regulations to mitigate the potential environmental impacts, and promote more sustainable development of solar energy in china and beyond.",2022,"10.1016/j.egyr.2022.03.039","YES","YES"
17,"nina","not vetted",44,"YES","global mapping of the landside clustering of aquaculture ponds from dense time-series 10 m sentinel-2 images on google earth engine","spatial distribution information offers a valuable resource for the growing research on evaluating and managing aquaculture and the mechanism of its interaction with the environment, especially concerning landside clustering aquaculture ponds (lcap). however, studies aimed at obtaining data on global lcap distribution remains limited. this study combined edge detection and the morphology implemented on google earth engine (gee) platform to produce the first global spatial distribution data of lcap using 4,015,054 tiles of the 10-m sentinel-2 time-series images collected throughout 2020. the study findings showed a total area of global lcap of 55,337.03 km2. asia, led by china, had the highest distribution area of lcap, accounting for 89.12 % of global lcap. the main lcap distribution area was the landside 30-km buffer region of coastline, accounting for 75.57 % of global lcap. meanwhile, the greatest proportion of lcap (69.63 %) was located in china. accuracy verification revealed that the precision and recall error of the results were 83.91 % and 92.49 % respectively, and f1 score was 0.88. a comparison of china, vietnam, and india, based on data drawn from most of the existing local studies that used remote sensing methods, showed that these countries’ aquaculture area differs by less than 10 %. despite some variation from fao statistics or official national statistics, the results of our remote sensing-based method show promise in such aspects as global coverage and temporal coherency when compared with the classical statistical method.",2022,"10.1016/j.jag.2022.103100","YES","YES"
18,"nina","not vetted",45,"YES","mapping global distribution of mangrove forests at 10-m resolution","mangrove forests deliver incredible ecosystem goods and services and are enormously relevant to sustainable living. an accurate assessment of the global status of mangrove forests warrants the necessity of datasets with sufficient information on spatial distributions and patch patterns. however, existing datasets were mostly derived from ∼30 m resolution satellite imagery and used pixel-based image classification methods, which lacked spatial details and reasonable geo-information. here, based on sentinel-2 imagery, we created a global mangrove forest dataset at 10-m resolution, namely, high-resolution global mangrove forests (hgmf_2020), using object-based image analysis and random forest classification. we then analyzed the status of global mangrove forests from the perspectives of conservation, threats, and resistance to ocean disasters. we concluded the following: (1) globally, there were 145,068 km2 mangrove forests in 2020, among which asia contained the largest coverage (39.2%); at the country level, indonesia had the largest amount of mangrove forests, followed by brazil and australia. (2) mangrove forests in south asia were estimated to be in the better status due to the higher proportion of conservation and larger individual patch size; in contrast, mangrove forests in east and southeast asia were facing intensive threats. (3) nearly, 99% of mangrove forest areas had a patch width greater than 100 m, suggesting that nearly all mangrove forests were efficient in reducing coastal wave energy and impacts. this study reports an innovative and up-to-date dataset and comprehensive information on mangrove forests status to contribute to related research and policy implementation, especially for supporting sustainable development.",2023,"10.1016/j.scib.2023.05.004","YES","YES"
19,"nina","not vetted",52,"YES","deforestation detection using a spatio-temporal deep learning approach with synthetic aperture radar and multispectral images","deforestation is a global change driver that contributes to atmospheric carbon emissions, causes biodiversity loss and ecosystem services degradation. usually, this process has been quantified and monitored using remote sensing. the development of deep learning algorithms, as well as satellite images with a higher spatial and temporal resolution has improved the capabilities to monitor deforestation. the objective of this study was to evaluate the potential of a spatio-temporal deep learning algorithm, the u-net 3d, with multispectral and synthetic aperture radar images to detect deforestation in a tropical rainforest in southeast mexico between 2019 and 2020. the u-net 3d inputs were 147 squared areas with 256 pixels by side that contained, at least, one deforested area. these inputs consisted of: (1) four cloudless composites (feb–apr 2019, may–sep 2019, oct 2019–jan 2020 and feb–apr 2020) with six bands each (four sentinel-2 bands and two sentinel-1), and (2) deforested area polygons delineated by visual interpretation. this classification had three classes: no deforestation, old-growth forest loss and secondary forest / plantation loss. the classification map obtained an overall accuracy of 0.97 and an average f1-score of 0.94. the corrected area estimates were 3 195.26 ± 1 132.88 ha (0.48 ± 0.17 %) for the old-growth forest loss and 4 234.85 ± 1 912.01 ha (0.64 ± 0.29 %) for the secondary forest / plantation loss. most of the classification errors were found in borders between classes, caused by the confusion of secondary forest / plantation loss with herbaceous cover loss or associated with artifacts in the images.",2023,"10.1016/j.isprsjprs.2023.03.017","YES","YES"
20,"nina","not vetted",57,"YES","predicting soil organic carbon stocks under commercial forest plantations in kwazulu-natal province, south africa using remotely sensed data","commercial forest plantations are increasing globally, absorbing a large amount of carbon valuable for climate change mitigation. whereas most carbon assimilation studies have mainly focused on natural forests, understanding the spatial distribution of carbon in commercial forests is central to determining their role in the global carbon cycle. forest soils are the largest carbon reservoir; hence soils under commercial forests could store a significant amount of carbon. however, the variability of soil organic carbon (soc) within forest landscapes is still poorly understood. due to limitations encountered in traditional systems of soc determination, especially at large spatial extents, remote sensing approaches have recently emerged as a suitable option in mapping soil characteristics. therefore, this study aimed at predicting soil organic carbon (soc) stocks in commercial forests using landsat 8 data. eighty-one soil samples were processed for soc concentration and fifteen landsat 8 derived variables, including vegetation indices and bands were used as predictors to soc variability. the random forest (rf) was adopted for variable selection and regression method for soc prediction. variable selection was done using rf backward elimination to derive three best subset predictors and improve prediction accuracy. these variables were then used to build the rf final model for soc prediction. the rf model yielded good accuracies with root mean square error of prediction (rmse) of 0.704 t/ha (16.50% of measured mean soc) and 10-fold cross-validation of 0.729 t/ha (17.09% of measured mean soc). the results demonstrate the effectiveness of landsat 8 bands and derived vegetation indices and rf algorithm in predicting soc stocks in commercial forests. this study provides an effective framework for local, national or global carbon accounting as well as helps forest managers constantly evaluate the status of soc in commercial forest compartments.",2020,"10.1080/15481603.2020.1731108","YES","YES"
21,"nina","not vetted",59,"YES","benggang segmentation via deep exchanging of digital orthophoto map and digital surface model features","benggang is a typical fragmented erosional landscape in southern and southeastern china, posing significant risk to the local residents and economic development. therefore, an efficient and accurate fine-grained segmentation method is crucial for monitoring the benggang areas. in this paper, we propose a deep learning-based automatic segmentation method for benggang by integrating high-resolution digital orthophoto map (dom) and digital surface model (dsm) data. the dsm data is used to extract slope maps, aiming to capture primary morphological features. the proposed method consists of a dual-stream convolutional encoder-decoder network in which multiple cascaded convolutional layers and a skip connection scheme are used to extract morphological and visual features of the benggang areas. the rich discriminative information in the dom and slope data is fused by a channel exchanging mechanism that dynamically exchanges the most discriminative features from either the dom or dsm stream according to their importance at the channel level. evaluation experiments were conducted on a challenging dataset collected from guangdong province, china, and the results show that the proposed channel exchanging network based deep fusion method achieves 84.62% iou in benggang segmentation, outperforming several existing unimodal or multimodal baselines. the proposed multimodal segmentation method greatly improves the efficiency of large-scale discovery of benggang, and thus is important for the management and restoration of benggang in southern and southeastern china, as well as the monitoring of other similar erosional landscapes.",2023,"10.1016/j.iswcr.2023.11.004","YES","YES"
22,"nina","not vetted",60,"YES","remote sensing for coral reef and seagrass cover mapping to support coastal management of small islands","coral reefs and seagrass are critical coastal resources due to their role in the ecosystem benefits for the coastal environment in terms of biodiversity, coastal protection, fisheries, and tourism. it is therefore important to preserve and protect these species. coral and seagrass percent cover mapping is a simple approach to assess coral and seagrass condition. the application of remote sensing of coral and seagrass percent cover mapping is very challenging with respect to performance and accuracy. this research aims to utilize remote sensing data for coral and seagrass percent cover mapping. linear and machine learning regressions (rf and svm) were used to develop a coral and seagrass percent cover model from a sentinel-2 msi images. the sentinel-2 msi images were transformed into deglint, water column (dii), principal component, and mean texture analysis as input bands for the model. the results showed that coral percent cover mapping accuracy is relatively low (rmse = ±17%) due to various problems, limitations, and an inaccurate model, whereas the results of the seagrass percent cover map had higher accuracy, with rmse ±11%. the results obtained indicate that the seagrass percent cover map is suitable for use as basic information to support coastal management. however, the coral percent cover map is not an optimal information source due to its low accuracy.",2021,"10.1088/1755-1315/686/1/012031","YES","YES"
